BRANCHCODE;BRANCHINFO;INSTITUTIONNAME;PHYSICALADDRESS;COUNTRYNAME;SWIFTCODE;CITYNAME
101024;KRUGERSDORP G4S;NEDBANK;NEDBANK PARK 1;SOUTH AFRICA;NEDSZAJJ;KRUGERSDORP G4S
101022;POLOKWANE G4S;NEDBANK;NEDHILL OFFICE PARK;SOUTH AFRICA;NEDSZAJJ;POLOKWANE G4S
101027;BLOEMFONTEIN CAMPUS;NEDBANK;CNR 2ND AVENUE & HENRY STREET;SOUTH AFRICA;NEDSZAJJ;BLOEMFONTEIN CAMPUS
101025;NELSPRUIT G4S;NEDBANK;NEDBANK PARK 1;SOUTH AFRICA;NEDSZAJJ;NELSPRUIT G4S
101023;PORT ELIZABETH G4S;NEDBANK;NEDBANK PLATTEKLOOF;SOUTH AFRICA;NEDSZAJJ;PORT ELIZABETH G4S
101026;PORT SHEPSTONE G4S;NEDBANK;NEDBANK RIDGESIDE CAMPUS;SOUTH AFRICA;NEDSZAJJ;PORT SHEPSTONE G4S
101006;NEDBANK BEAUFORT WEST;NEDBANK;BEAUFORT SQUARE SHOP 384;SOUTH AFRICA;NEDSZAJJ;NEDBANK BEAUFORT WEST
101010;NEDBANK WELLINGTON CBD;NEDBANK;21 JAN VAN RIEBEECK STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK WELLINGTON CBD
101007;PALM GATE KURUMAN;NEDBANK;PALM GATE SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;PALM GATE KURUMAN
101008;NEDBANK POSTMASBURG;NEDBANK;SIBILO CONVENIENCE CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK POSTMASBURG
101000;JOZINI;NEDBANK;JOZINI MALL SHOP 20, PORTION 6;SOUTH AFRICA;NEDSZAJJ;JOZINI
101003;NEDBANK WHITE RIVER;NEDBANK;WHITE RIVER SHOPPING CENTRE, CNR CHIEF MGENYEN;SOUTH AFRICA;NEDSZAJJ;NEDBANK WHITE RIVER
101004;BARBERTON;NEDBANK;SHOP 80 STIMELA MALL;SOUTH AFRICA;NEDSZAJJ;BARBERTON
101005;GRAAFF - REINET;NEDBANK;DEWDNEY HOUSE, GROUND FLOOR, 38 CALEDON STREET;SOUTH AFRICA;NEDSZAJJ;GRAAFF - REINET
101002;NEDBANK FLEURDAL;NEDBANK;FLEURDAL SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK FLEURDAL
101018;RUSTENBURG G4S;NEDBANK;NEDHILL OFFICE PARK;SOUTH AFRICA;NEDSZAJJ;RUSTENBURG G4S
101016;KLERKSDORP G4S;NEDBANK;PHG BUILDING;SOUTH AFRICA;NEDSZAJJ;KLERKSDORP G4S
101019;PIETERMARITZBURG G4S;NEDBANK;NEDBANK RIDGESIDE CAMPUS;SOUTH AFRICA;NEDSZAJJ;PIETERMARITZBURG G4S
101015;LOUIS TRICHARDT G4S;NEDBANK;HOUSE 19 VLEI STREET LOUIS TRICHARD;SOUTH AFRICA;NEDSZAJJ;LOUIS TRICHARDT G4S
101020;NEWCASTLE G4S;NEDBANK;NEDBANK RIDGESIDE CAMPUS;SOUTH AFRICA;NEDSZAJJ;NEWCASTLE G4S
101017;KIMBERLEY G4S;NEDBANK;PHG BUILDING;SOUTH AFRICA;NEDSZAJJ;KIMBERLEY G4S
101021;PRETORIA G4S;NEDBANK;NEDBANK RIDGESIDE CAMPUS;SOUTH AFRICA;NEDSZAJJ;PRETORIA G4S
101001;OLIEVENHOUTBOSCH;NEDBANK;OLIEVENHOUTBOSCH PLAZA SHOP 11 / 12;SOUTH AFRICA;NEDSZAJJ;OLIEVENHOUTBOSCH
101014;PNP ALEXANDRA;NEDBANK;ERF 40, 42 & 37;SOUTH AFRICA;NEDSZAJJ;PNP ALEXANDRA
101011;SBV LOUIS TRICHARDT CASH CENTR;NEDBANK;LOT 2267 UNIKA STREET;SOUTH AFRICA;NEDSZAJJ;SBV LOUIS TRICHARDT CASH CENTR
101013;BOXER MIDDLEBURG;NEDBANK;6 OR TAMBO STREET;SOUTH AFRICA;NEDSZAJJ;BOXER MIDDLEBURG
101113;NEDBANK THABANCHU;NEDBANK;THABA NCHU CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK THABANCHU
101131;RRB JOZI CENTRAL EAST;NEDBANK;11 - 14TH AVENUE;SOUTH AFRICA;NEDSZAJJ;RRB JOZI CENTRAL EAST
101182;QUAGGA MALL;NEDBANK;QUAGGA CENTRE, SHOP 46;SOUTH AFRICA;NEDSZAJJ;QUAGGA MALL
101180;RRB CRADELSTONE MALL;NEDBANK;SHOP 111 KEYWEST SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB CRADELSTONE MALL
101183;RRB LAKEVIEW CAMPUS;NEDBANK;LAKEVIEW CAMPUS-PHASE 1, FIRST FLOOR CONSTANTI;SOUTH AFRICA;NEDSZAJJ;RRB LAKEVIEW CAMPUS
101179;SBV EASTGATE MALL;NEDBANK;WOOLWORTHS DELIVERY ENTRANCE GREENSTONE SHOPPI;SOUTH AFRICA;NEDSZAJJ;SBV EASTGATE MALL
101181;NEDBANK HILLBROW;NEDBANK;SHOP 3, CNR KOTZE & TWIST STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK HILLBROW
101185;ELOFF GALLERIES CSC;NEDBANK;CNR MARKET & RISSIK STREET;SOUTH AFRICA;NEDSZAJJ;ELOFF GALLERIES CSC
101129;GAUTENG NORTH & WEST SBS;NEDBANK;SHOP BC35 SANDTON CITY SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;GAUTENG NORTH & WEST SBS
101158;SS&A IN CSC COMMERCIAL ROAD;NEDBANK;24 COMMERCIAL ROAD, SIDWELL;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC COMMERCIAL ROAD
101156;SS&A IN CSC BLAAUW VILLAGE;NEDBANK;BLAAUW VILLAGE, 283 BEN VILJOEN STREET;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC BLAAUW VILLAGE
101159;SS&A IN CSC SONATA;NEDBANK;SHOP 1B, SONATA LANE CENTRE, SONATA LANE;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC SONATA
101155;SS&A IN CSC NEWCASTLE SCOTT;NEDBANK;58 SCOTT STREET;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC NEWCASTLE SCOTT
101160;SS&A IN CSC WYNBERG;NEDBANK;SHOP G3, 123 MAIN ROAD;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC WYNBERG
101157;SS&A IN CSC DOWN TOWN;NEDBANK;458 SMITH STREET, DOWNTOWN;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC DOWN TOWN
101132;GAUTENG S&E SBS STRATEGY;NEDBANK;1 ST FLOOR;SOUTH AFRICA;NEDSZAJJ;GAUTENG S&E SBS STRATEGY
101189;ARF BRANCH NETWORKS;NEDBANK;1 NEWTOWN ROAD, KILLARNEY, 2193;SOUTH AFRICA;NEDSZAJJ;ARF BRANCH NETWORKS
101187;GHANDI SQUARE ELS;NEDBANK;GROUND FLOOR, 100 MAIN STREET;SOUTH AFRICA;NEDSZAJJ;GHANDI SQUARE ELS
101190;ALIWAL NORTH;NEDBANK;42  SOMERSET STREET;SOUTH AFRICA;NEDSZAJJ;ALIWAL NORTH
101186;BREE STREET CSC;NEDBANK;SHOP 125, NEWTOWN JUNCTION;SOUTH AFRICA;NEDSZAJJ;BREE STREET CSC
101191;RRB HATFIELD;NEDBANK;HILLCREST OFFICE BOULEVARD;SOUTH AFRICA;NEDSZAJJ;RRB HATFIELD
101188;PARK CENTRAL;NEDBANK;PARK CENTRAL SHOPPING CENTRE, SHOP 43;SOUTH AFRICA;NEDSZAJJ;PARK CENTRAL
101134;RRB THE GLEN;NEDBANK;THE GLEN SHOPPING CENTRE SHOPV1;SOUTH AFRICA;NEDSZAJJ;RRB THE GLEN
101138;RRB PRETORIA CBD WEST;NEDBANK;NEDBANK PLAZA;SOUTH AFRICA;NEDSZAJJ;RRB PRETORIA CBD WEST
101136;RRB NORTH WEST;NEDBANK;NEDBANK BUILDING;SOUTH AFRICA;NEDSZAJJ;RRB NORTH WEST
101139;RRB CENTURION MIDRAND;NEDBANK;1ST FLOOR JEAN VILLAGE SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB CENTURION MIDRAND
101137;RRB TSHWANE FAR EAST & NORTH;NEDBANK;FIN FORUM;SOUTH AFRICA;NEDSZAJJ;RRB TSHWANE FAR EAST & NORTH
101135;RRB PRETORIA EAST;NEDBANK;NEDBANK MENLYN MAINE CNR ARAMIS & CONSTELLATIO;SOUTH AFRICA;NEDSZAJJ;RRB PRETORIA EAST
101140;RRB CPT SOUTHERN SUBURBS;NEDBANK;24 PROTEA ROAD;SOUTH AFRICA;NEDSZAJJ;RRB CPT SOUTHERN SUBURBS
101130;RRB RIVONIA ARTERIAL;NEDBANK;135 RIVONIA ROAD SANDOWN;SOUTH AFRICA;NEDSZAJJ;RRB RIVONIA ARTERIAL
101196;NEDBANK CRADLESTONE;NEDBANK;SHP U99 CRADLESTONE MALL;SOUTH AFRICA;NEDSZAJJ;NEDBANK CRADLESTONE
101194;NEDBANK SESHEGO CIRCLE;NEDBANK;SESHEGO CIRCLE SHOPPING CENTRE , SHOP 9 DITLOU;SOUTH AFRICA;NEDSZAJJ;NEDBANK SESHEGO CIRCLE
101197;MORULENG;NEDBANK;MORULENG MALL, SHOP 75;SOUTH AFRICA;NEDSZAJJ;MORULENG
101193;NEDBANK KATHU;NEDBANK;KATHU VILLAGE MALL CNR HENDRIK VAN ECK & DEBEN;SOUTH AFRICA;NEDSZAJJ;NEDBANK KATHU
101198;HAMMERSDALE;NEDBANK;HAMMERSDALE JUNCTION, SHOP A24;SOUTH AFRICA;NEDSZAJJ;HAMMERSDALE
101195;RRB HIGHVELD MALL;NEDBANK;SHOP 243 HIGHVELD MALL;SOUTH AFRICA;NEDSZAJJ;RRB HIGHVELD MALL
101128;RRB EXECUTIVE BANKING;NEDBANK;135 RIVONIA ROAD SANDOWN;SOUTH AFRICA;NEDSZAJJ;RRB EXECUTIVE BANKING
101165;RRB SOMERSET MALL;NEDBANK;SHP 226 SOMERSET MALL;SOUTH AFRICA;NEDSZAJJ;RRB SOMERSET MALL
101162;SS&A IN CSC ST GEORGES MALL;NEDBANK;SHOP 1, ST GEORGES MALL, 32 ST;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC ST GEORGES MALL
101166;MAHWELERENG;NEDBANK;MAHWELERENG SHOPPING CENTRE DUDU;SOUTH AFRICA;NEDSZAJJ;MAHWELERENG
101161;SS&A IN CSC STANGER MALL;NEDBANK;SHOP 2, STANGER MALL, 5 KING SHAKA STREET;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC STANGER MALL
101163;OPERATIONS & PROCESS;NEDBANK;BLOCK F, 1ST FLOOR, 135 RIVONIA ROAD;SOUTH AFRICA;NEDSZAJJ;OPERATIONS & PROCESS
101133;GAUTENG CENTRAL SBS;NEDBANK;1 NEWTOWN ROAD;SOUTH AFRICA;NEDSZAJJ;GAUTENG CENTRAL SBS
101199;NEDBANK MODI MALL;NEDBANK;MODI MALL, SHOP 18;SOUTH AFRICA;NEDSZAJJ;NEDBANK MODI MALL
101144;RRB GREATER PMB AREA HINTERL;NEDBANK;NEDBANK CORNER 2ND FLOOR;SOUTH AFRICA;NEDSZAJJ;RRB GREATER PMB AREA HINTERL
101171;RRB FORESHORE CAPETOWN;NEDBANK;NEDBANK FORESHORE GROUNDFLOOR;SOUTH AFRICA;NEDSZAJJ;RRB FORESHORE CAPETOWN
101167;TONGA;NEDBANK;TONGA MALL CNR PROVINCIAL ROAD (D2940) &  NATI;SOUTH AFRICA;NEDSZAJJ;TONGA
101169;ELUKWATINI;NEDBANK;ELUKWATINI SQUARE, SHOP 4;SOUTH AFRICA;NEDSZAJJ;ELUKWATINI
101172;NEDBANK NEW BRANCH TRAN IN;NEDBANK;BLOCK G 6TH FLOOR NEDCOR SANDTON;SOUTH AFRICA;NEDSZAJJ;NEDBANK NEW BRANCH TRAN IN
101168;JANE FURSE;NEDBANK;JANE FURSE CROSSING CNR STEELPOORT GROBLERSDAL;SOUTH AFRICA;NEDSZAJJ;JANE FURSE
101170;SS&A IN CSC PINE WALK;NEDBANK;SHOP 20, SHOPRITE CENTRE, 43 HOPE STREET;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC PINE WALK
101142;RRB CPT CENTRAL SUBURBS;NEDBANK;1ST FLOOR HOWARD CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB CPT CENTRAL SUBURBS
101154;SS&A IN CSC PORTSHEPSTONE;NEDBANK;DOIPHIN CENTRE, BAZLEY STREET,;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC PORTSHEPSTONE
101151;SS&A IN CSC PROMENADE;NEDBANK;SHOP 112, LIBERTY PROMENADE SHOPPING CENTRE,;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC PROMENADE
101147;BB CREDIT RISK MANAGEMENT;NEDBANK;BLOCK H 7TH FLOOR;SOUTH AFRICA;NEDSZAJJ;BB CREDIT RISK MANAGEMENT
101152;SS&A IN CSC GREENSTONE MALL;NEDBANK;SHOP U65, GREENSTONE SHOPPING CENTRE, CNR;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC GREENSTONE MALL
101153;SS&A CSC VANGATE MALL;NEDBANK;SHOP 100, VANGATE MALL, CNR VANGATE DRIVE &;SOUTH AFRICA;NEDSZAJJ;SS&A CSC VANGATE MALL
101149;RRB RANDBURG;NEDBANK;NEDBANK FERNALEL REPUBLIC;SOUTH AFRICA;NEDSZAJJ;RRB RANDBURG
101141;RRB CPT WESTERN SUBURBS;NEDBANK;WEST OFFICE TOWERS;SOUTH AFRICA;NEDSZAJJ;RRB CPT WESTERN SUBURBS
101176;SS&A IN CSC CHRIS HANI SQUAR;NEDBANK;SHOP 2 , CHRIS HANI SQUARE , BARA TAXI RANK ,;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC CHRIS HANI SQUAR
101174;BOXER  TAUNG MALL;NEDBANK;TAUNG MALL 292 MAIN ROAD;SOUTH AFRICA;NEDSZAJJ;BOXER  TAUNG MALL
101177;SS&A IN CSC MAITLAND STREET;NEDBANK;SHOP 4 , 136 MAITLAND STREET;SOUTH AFRICA;NEDSZAJJ;SS&A IN CSC MAITLAND STREET
101175;NEDBANK BELLVILLE CBD;NEDBANK;46 VOORTREKKER ROAD;SOUTH AFRICA;NEDSZAJJ;NEDBANK BELLVILLE CBD
101146;RRB NORTHMEAD BENONI;NEDBANK;SHOP 14 SUNWARD PARK LIFESTYLE CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB NORTHMEAD BENONI
101143;RRB CPT CDB;NEDBANK;2ND FLOOR NEDBANK BUILDING;SOUTH AFRICA;NEDSZAJJ;RRB CPT CDB
101121;RRB WESTVILLE MALL;NEDBANK;PRIVATE BANK HOUSE;SOUTH AFRICA;NEDSZAJJ;RRB WESTVILLE MALL
101117;RRB CPT NORTHERN SUBURBS;NEDBANK;THE BRIDGE CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB CPT NORTHERN SUBURBS
101120;RRB BLOEMFONTEIN;NEDBANK;1ST FLOOR SHOP 27 & 28;SOUTH AFRICA;NEDSZAJJ;RRB BLOEMFONTEIN
101115;BOXER ALEXANDRA;NEDBANK;CNR OLD PRETORIA MAIN ROAD & CHADWICK;SOUTH AFRICA;NEDSZAJJ;BOXER ALEXANDRA
101119;RRB GREATER WINELANDS;NEDBANK;SHOP226;SOUTH AFRICA;NEDSZAJJ;RRB GREATER WINELANDS
101116;DIP RUSTENBURG;NEDBANK;STAND 6;SOUTH AFRICA;NEDSZAJJ;DIP RUSTENBURG
101118;RRB TYGERBERS WINELANDS;NEDBANK;NEDBANK PLATETEKLOOF 2NDFLOOR;SOUTH AFRICA;NEDSZAJJ;RRB TYGERBERS WINELANDS
101111;NEDBANK BOTSHABELO;NEDBANK;RCM COMPLEX;SOUTH AFRICA;NEDSZAJJ;NEDBANK BOTSHABELO
101114;NEDBANK MAHIKENG;NEDBANK;WELWORTHS BUILDING  SHOP 1 CNR CARRINGTON;SOUTH AFRICA;NEDSZAJJ;NEDBANK MAHIKENG
101112;RRB WESTVILLE MAL;NEDBANK;PRIVATE BANK HOUSE 9TH BOULEVART WESTERN OFFIC;SOUTH AFRICA;NEDSZAJJ;RRB WESTVILLE MAL
101105;BOXER QUEENSTOWN;NEDBANK;VICTORIA ROAD;SOUTH AFRICA;NEDSZAJJ;BOXER QUEENSTOWN
101108;NEDBANK HEIDELBURG;NEDBANK;HEIDELBURG SHOPRITE CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK HEIDELBURG
101107;NEDBANK HARRISMITH;NEDBANK;HARRISMITH BUILDING;SOUTH AFRICA;NEDSZAJJ;NEDBANK HARRISMITH
101109;CONSTANTIA CAPE TOWN;NEDBANK;SHOP 48A CONSTANTIA VILLAGE;SOUTH AFRICA;NEDSZAJJ;CONSTANTIA CAPE TOWN
101104;NEDBANK NONESI MALL;NEDBANK;SHOP NO 33 NONESI MALL;SOUTH AFRICA;NEDSZAJJ;NEDBANK NONESI MALL
101110;NEDBANK MARBLE HALL;NEDBANK;COTTONFIELDS SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK MARBLE HALL
101126;RRB PE UITENHAGE SURROUNDS;NEDBANK;;SOUTH AFRICA;NEDSZAJJ;RRB PE UITENHAGE SURROUNDS
101123;RRB AMANZIMTOTI;NEDBANK;SHOPF73 GALLERIA;SOUTH AFRICA;NEDSZAJJ;RRB AMANZIMTOTI
101125;RRB EASTLONDON & MTHATHA;NEDBANK;1ST FLOOR;SOUTH AFRICA;NEDSZAJJ;RRB EASTLONDON & MTHATHA
101122;RRB KWAZULU NATAL SBS;NEDBANK;NO9TH E BOULEVARD GROUND FLOOR;SOUTH AFRICA;NEDSZAJJ;RRB KWAZULU NATAL SBS
101124;RRB WESKUS SWART LAND GRPAARL;NEDBANK;1ST FLOOR;SOUTH AFRICA;NEDSZAJJ;RRB WESKUS SWART LAND GRPAARL
101224;THABAZIMBI;NEDBANK;SHOP 6, THABA MALL CNR WARMBAD AND;SOUTH AFRICA;NEDSZAJJ;THABAZIMBI
101243;RRB BELLVILLE THE BRIDGE;NEDBANK;THE BRIDGE BELLVILLE GROUND FLOOR;SOUTH AFRICA;NEDSZAJJ;RRB BELLVILLE THE BRIDGE
101275;GERMISTON;NEDBANK;SHOP 68, GOLDEN WALK SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;GERMISTON
101273;EAST RAND MALL;NEDBANK;SHOP 150/151, EAST RAND MALL,;SOUTH AFRICA;NEDSZAJJ;EAST RAND MALL
101278;VAAL WALK MALL CSC;NEDBANK;1 PRESIDENT KRUGER STREET;SOUTH AFRICA;NEDSZAJJ;VAAL WALK MALL CSC
101277;RRB CASCADES PIETERMARITZBURG;NEDBANK;SHOP 18 CASCADES CENTRE MCCARTHY DRIVE;SOUTH AFRICA;NEDSZAJJ;RRB CASCADES PIETERMARITZBURG
101274;BENONI CSC;NEDBANK;SHOP 2, 3 & 4 BENONI PLAZA;SOUTH AFRICA;NEDSZAJJ;BENONI CSC
101276;NEDBANK GERMISTON CSC;NEDBANK;SHOP N29, GOLDEN WALK MALL;SOUTH AFRICA;NEDSZAJJ;NEDBANK GERMISTON CSC
101246;MIDRAND CSC;NEDBANK;SHOP 71, 1ST FLOOR MID CITY SHOPPING CENTRE,;SOUTH AFRICA;NEDSZAJJ;MIDRAND CSC
101249;NEDBANK NELSPRUIT PLAZA;NEDBANK;NEDBANK CENTRE, 30 BROWN STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK NELSPRUIT PLAZA
101253;NEDBANK LEPHALALE MALL;NEDBANK;SHOP 50, LEPHALALE MALL CNR CHRIS HANI AVENUE;SOUTH AFRICA;NEDSZAJJ;NEDBANK LEPHALALE MALL
101252;MALAMULELE;NEDBANK;SHOP 24, MASINGITA CROSSING SHOPPING CENTER, C;SOUTH AFRICA;NEDSZAJJ;MALAMULELE
101247;NEDBANK PRETORIA STATION CSC;NEDBANK;CNR CHURCH & THABO SEHUME STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK PRETORIA STATION CSC
101251;NEDBANK MIDDLEBURG COWEN N;NEDBANK;NEDBANK CENTRE, 6 OR TAMBO STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK MIDDLEBURG COWEN N
101248;NEDBANK POLOKWANE CITY CENTER;NEDBANK;53 LANDROS MARE STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK POLOKWANE CITY CENTER
101250;MOKOPANE CSC;NEDBANK;SHOP 40, THE CROSSING CENTRE;SOUTH AFRICA;NEDSZAJJ;MOKOPANE CSC
101241;NEDBANK CENTURION CSC;NEDBANK;SHOP A ZONE 1E, LOWER LEVEL CENTURION MALL;SOUTH AFRICA;NEDSZAJJ;NEDBANK CENTURION CSC
101270;GREENSTONE MALL;NEDBANK;SHOP U065, GREENSTONE, SHOPPING CENTRE,;SOUTH AFRICA;NEDSZAJJ;GREENSTONE MALL
101268;TSKAKANE CSC;NEDBANK;SHOP 56, CNR MODJADJI & MALANDE;SOUTH AFRICA;NEDSZAJJ;TSKAKANE CSC
101272;BRAKPAN;NEDBANK;SHOP 17, BRAKPAN PLAZA, CNR VOORTRKKER;SOUTH AFRICA;NEDSZAJJ;BRAKPAN
101269;BOKSBURG CBD CSC;NEDBANK;263 COMMISIONER STREET;SOUTH AFRICA;NEDSZAJJ;BOKSBURG CBD CSC
101267;PREMFIN;NEDBANK;NEDBANK, 135 RIVONIA RD, H BLOCK, 5TH FLOOR;SOUTH AFRICA;NEDSZAJJ;PREMFIN
101271;KEMPTON SQUARE CSC;NEDBANK;18 WEST STREET, PARK PLAZA;SOUTH AFRICA;NEDSZAJJ;KEMPTON SQUARE CSC
101242;NEDBANK CHURCH STREET CSC;NEDBANK;CNR CHURCH & THABO SEHUME STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK CHURCH STREET CSC
101299;WONDERPARK;NEDBANK;SHOP 359, WONDERPARK SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;WONDERPARK
101245;MAMELODI TSHWANE CSC;NEDBANK;SHOP G3, MAMELODI CROSSING, CNR WALTLOO  &;SOUTH AFRICA;NEDSZAJJ;MAMELODI TSHWANE CSC
101244;DIE MEENT PTA CSC;NEDBANK;200 PRETORUIS STREET;SOUTH AFRICA;NEDSZAJJ;DIE MEENT PTA CSC
101233;320 WEST STR CSC KZN;NEDBANK;303 SMITH STREET CBD;SOUTH AFRICA;NEDSZAJJ;320 WEST STR CSC KZN
101263;RUSTENBURG MIDTOWN MALL CSC;NEDBANK;135 FATIMA BHAYAT DRIVE;SOUTH AFRICA;NEDSZAJJ;RUSTENBURG MIDTOWN MALL CSC
101261;MAITLAND CSC;NEDBANK;45 MAITLAND STREET;SOUTH AFRICA;NEDSZAJJ;MAITLAND CSC
101266;SOSHANGUVE CROSSING;NEDBANK;SHOP 1 SOSHANGUVE CROSSING, ON THE NORTH WESTE;SOUTH AFRICA;NEDSZAJJ;SOSHANGUVE CROSSING
101262;NEDBANK RUSTENBURG CBD;NEDBANK;111 FATIMA BHAYAT DRIVE;SOUTH AFRICA;NEDSZAJJ;NEDBANK RUSTENBURG CBD
101265;KLERKSDORP CITY MALL CSC;NEDBANK;57 ANDERSON STREET;SOUTH AFRICA;NEDSZAJJ;KLERKSDORP CITY MALL CSC
101264;RIVERWALK POTCHEFSTROOM;NEDBANK;SHOP 98, MOOIRIVIER MALL;SOUTH AFRICA;NEDSZAJJ;RIVERWALK POTCHEFSTROOM
101232;RRB OVERPORT CITY DURBAN;NEDBANK;SHOP 37 OVERPORT CITY DURBAN;SOUTH AFRICA;NEDSZAJJ;RRB OVERPORT CITY DURBAN
101295;RRB NICOLWAY;NEDBANK;SHOP U16 NICOLWAY SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;RRB NICOLWAY
101298;BOXER MADANTSANE;NEDBANK;9825, HIGHWAY, TAXI RANK;SOUTH AFRICA;NEDSZAJJ;BOXER MADANTSANE
101293;NEDBANK MTHATHA CITY CENTRE;NEDBANK;GROUND FLOOR, OLD MUTUAL BUILDING;SOUTH AFRICA;NEDSZAJJ;NEDBANK MTHATHA CITY CENTRE
101297;RRB CLAREMONT;NEDBANK;20-22 VINEYARD ROAD;SOUTH AFRICA;NEDSZAJJ;RRB CLAREMONT
101296;RRB MELROSE ARCH;NEDBANK;MELROSE ARCH 30 MELROSE BOULEVARD;SOUTH AFRICA;NEDSZAJJ;RRB MELROSE ARCH
101292;NEDBANK METLIFE MALL KWT;NEDBANK;39 MACLEAN ROAD;SOUTH AFRICA;NEDSZAJJ;NEDBANK METLIFE MALL KWT
101240;BLAAUW VILLAGE PRETORIA;NEDBANK;SHOP 51-54, NORTHPARK SHOPPING;SOUTH AFRICA;NEDSZAJJ;BLAAUW VILLAGE PRETORIA
101288;GEORGE CSC;NEDBANK;108 YORK STREET;SOUTH AFRICA;NEDSZAJJ;GEORGE CSC
101291;GOVAN MBEKI;NEDBANK;SECTION 1, 29 GOVAN MBEKI AVENUE;SOUTH AFRICA;NEDSZAJJ;GOVAN MBEKI
101286;TERMINUS STREET CSC;NEDBANK;68 BUFFALO STREET;SOUTH AFRICA;NEDSZAJJ;TERMINUS STREET CSC
101290;NEDBANK GILLWELL MALL;NEDBANK;SHOP UG1A GILLWELL MALL, CNR OF FLEET STREET;SOUTH AFRICA;NEDSZAJJ;NEDBANK GILLWELL MALL
101287;COMMERCIAL ROAD PE CSC;NEDBANK;SHOP 19-22, STANFORD QUARTER;SOUTH AFRICA;NEDSZAJJ;COMMERCIAL ROAD PE CSC
101289;UITENHAGE CSC;NEDBANK;70 CALEDON STREET;SOUTH AFRICA;NEDSZAJJ;UITENHAGE CSC
101237;JORISSEN;NEDBANK;NEDBANK CORNER, 96 JORISSEN STR;SOUTH AFRICA;NEDSZAJJ;JORISSEN
101257;NEDBANK THE REDS;NEDBANK;THE MALL @ REDS SHOPPING CENTRE;SOUTH AFRICA;NEDSZAJJ;NEDBANK THE REDS
101260;WITBANK CSC;NEDBANK;DAMAN COURT, CNR MANDELA & ARRAS STREET;SOUTH AFRICA;NEDSZAJJ;WITBANK CSC
101255;GIYANI CSC;NEDBANK;SHOP 3, MASINGITA COMPLEX, MALA;SOUTH AFRICA;NEDSZAJJ;GIYANI CSC
101259;TZANEEN CSC;NEDBANK;GROUND FLOOR, TZANEEN CROSSING,;SOUTH AFRICA;NEDSZAJJ;TZANEEN CSC
101256;NEDBANK BURGERSFORT CSC;NEDBANK;SHOP 4, BURGERFORT MALL, CNR DIRK;SOUTH AFRICA;NEDSZAJJ;NEDBANK BURGERSFORT CSC
101258;MVUSULUDZO MALL THOHOYANDO;NEDBANK;ERF 112, GAME CENTRE, MPHEPHU;SOUTH AFRICA;NEDSZAJJ;MVUSULUDZO MALL THOHOYANDO
101254;NEDBANK CAPRICORN;NEDBANK;GROUND FLOOR, 53 LANDROS MARE S;SOUTH AFRICA;NEDSZAJJ;NEDBANK CAPRICORN
101239;THABO SEHUME ANDRIES STREET;NEDBANK;CNR CHURCH & ANDRIES STREET;SOUTH AFRICA;NEDSZAJJ;THABO SEHUME ANDRIES STREET
101285;KRUGERSDORP CENTRAL;NEDBANK;SHOP 1, ASAN BUILDING;SOUTH AFRICA;NEDSZAJJ;KRUGERSDORP CENTRAL
101281;BOXER MTHATHA 2;NEDBANK;BOXER MTHATHA 2 , CNR OXLAND & EAGLE STREETS;SOUTH AFRICA;NEDSZAJJ;BOXER MTHATHA 2
